entry,year,genre,source,a,b,c,text,
23,1843,MAG,NewEngYaleRev,A,B,C,"  housekeeping, domestic economy, agriculture, horticulture, floriculture, the grape, the mulberry, the silkworm. Almost every authoress in our land, as soon as she",
24,1913,FIC,Virginia,A,B,C,"  ! Outside, in the street, she could see a half-bared bough of the mulberry tree, arching against a square of window, from which the white curtains were",
25,1928,NF,HelenKouesOnDecorating,A,B,C,  which such pieces are covered. In this case a small shell pattern | in mulberry and cream is an attractive combination with the soft color of the hickory wood used,
26,1837,FIC,Nacoochee,A,B,C,"  be as I was when a boy. Nor shoot with my cross-bow -- my mulberry cross-bow -- The robins that perched on the boughs near the gate. Chivers,",
27,1879,FIC,NightOff,A,B,C,"  crosses to C.). We don't know that, either. MUL. Mulberry (aside). A most singular family. (Aloud.) Then there",
28,1920,NF,DaysBeforeYesterday,A,B,C,"  goats for milk, and, quaintly enough, they fed them on the dried mulberry leaves the silkworms had left over. For every one reared silkworms too, a",
29,1857,MAG,NorthAmRev,A,B,C,"  first met the Lady Elizabeth Woodville; when we have rested under "" Milton's mulberry "" in Christ Church Garden, and remembered Warton under the "" Avon willows """,
30,1983,FIC,Phantoms,A,B,C,"  at Bryce, looking disconcerted and baffled. "" Here we go' round the mulberry bush, the mulberry bush, the mulberry bush. "" The air was filled",
31,1934,NF,UponFieldHusbandry,A,B,C,"  red Cedar. One of our Boat-Men told me, that he once carried some Mulberry Timber to New-York, the People there told him, that it was as good",
32,1942,MAG,Harpers,A,B,C,"  back to Samarkand as prisoners of war and set them to work. Since the mulberry did not grow there, these artisans were forced to experiment with linen fibers.",
33,1904,NEWS,NYT-Reg,A,B,C,"  whose places they had taken, Giuseppe Mussili, twenty-six years old. of 53 Mulberry Street, is in the Hudson Street Hospital with a wound through the left shoulder",
34,1939,FIC,Yearling,A,B,C,  of mocking-birds in the chinaberry. The jays were chasing the red-birds out of the mulberry trees. There was a squabble for food even in the safety of the clearing,
35,1931,NF,DiscordsMingled,A,B,C,"  ' Yet London, in earlier and less glorious days, had known its "" Mulberry Gardens "" and "" World's End, "" notorious places of intrigue and broad",
36,1894,MAG,Century,A,B,C,  roof-garden would have been cheap at almost any cost. The new school in the Mulberry Bend has an attic gymnasium that was secured by a trick. As an educational,
37,1954,FIC,LoveIsEternal,A,B,C,"  in the manufacture of silk, and Percy Wyeth Blackford set out a number of mulberry trees for the culture of silkworms -- hence the name Mulberry.' "" All",
38,1957,FIC,Play:Founders,A,B,C,  and never had the colony worked as it worked now -- planting apple trees and mulberry trees and vines for grapes and a bigger crop than ever of corn and vegetables,
39,1828,MAG,NorthAmRev,A,B,C,"  injury frdrii frost. The white // mulberry has been successfully introduced; the purple mulberry is a native of the forests, and very abundant. Mr M' Comb",
40,1983,FIC,Phantoms,A,B,C,"  voice was clear and fragile and sweet. "" Here we go' round the mulberry bush, so early in the moooorrrrninnnggg! "" "" The sink, "" Lisa",
41,1937,NF,YourClothesPersonality,A,B,C,"  r Not all silk worms get such attention. Some develop by themselves on the mulberry bushes. They are gathered, and the silk is known as wild silk.",
42,1945,NF,LivestockChina,A,B,C,"  throughout the year. This is a silk-producing area and the primary feed is surplus mulberry leaves. The sheep in turn provide meat and wool, and manure for the",
43,1900,NEWS,NYT-Reg,A,B,C,"  K1.000. Wire all information to GEORGE W. McCLUSEY, Captain Detective Bureau, 300 Mulberry Street, New York City. The amount of' the reward was set early",
44,1963,FIC,Centaur,A,B,C,"  "" he said. He strode across the garden and down the winding path between the mulberry trees kept for the feeding of silkworms, and then he stooped his head,",
45,1970,NEWS,NYT-Reg,A,B,C,  or underworld judge at hearings -- sometimes held in the Ravenite Social Club at 247 Mulberry Street near Police Headquarters? where disputes are argued and awards and penalties meted out,
46,1921,FIC,KingdomRoundCorner,A,B,C,"  and could consider his actions in their true perspective. As he turned out of Mulberry Tree Court, he had thought he had heard a voice calling after him.",
47,1921,FIC,KingdomRoundCorner,A,B,C,"  smiling stillness, which was so different from anything he had imagined! They entered Mulberry Tree Court and drew up before the house with the marigold-tinted curtains. It was",
48,1879,FIC,NightOff,A,B,C,"  SUSAN, to enter L. C. PROF. Professor What a pity! MUL. Mulberry Pity won't keep this train back. (Wraps up.) When I",
49,1940,NF,VanLoonsGeography,A,B,C,  it into the capital of their own empire. no VAN LOON'S GEOGRAPHY The mulberry tree needs a great deal of heat. It found ideal living conditions in Lombardy,
50,1880,FIC,BricksWithoutStraw,A,B,C,"  charmed with her beauty and artless grace on the first night of her stay at Mulberry Hill, and had felt obliged to her for her care of the little Hildreth",
51,1874,NF,MannersCustoms,A,B,C,"  the raspberry, and the pomegranate wines; also the more, made with the mulberry, which was so extolled by the poets of the thirteenth century. We must",
52,1991,FIC,SouthernRev,A,B,C,"  Erbie, his whole face alight, his gold-lashed eyes dancing like the ripples on Mulberry Creek. # "" Ain't he a wonder? "" Tipton marveled, watching",
53,1941,FIC,Harpers,A,B,C,  sounds on a sewing machine. His sisters played tedious games with dolls under a mulberry tree. He left them. He left the lot of them and went through,
54,1934,NF,UponFieldHusbandry,A,B,C,"  , which charms and diverts in a very pleasing Manner. If a Row of Mulberry Trees were planted on each Side of the Country Road, at equal Distance,",
55,1879,FIC,NightOff,A,B,C,"  stage.) Oh, no, no! This is madness. MUL. Mulberry (looks at both astonished). It certainly is. (Crosses to C.",
56,1927,MAG,Time,A,B,C,  trees for his Massachusetts farm. Farm papers told their readers that five acres of mulberry trees would support a family sumptuously. Nine state legislatures established mulberry and silk-reeling bounties,
57,1928,NF,HelenKouesOnDecorating,A,B,C,"  rug is a pleasant relief. The curtains, over ecru voile, are of mulberry on a cream ground? a sunfast toile showing early American scenes such as a",
58,1844,NF,NotesOnPolitical,A,B,C,"  and to any extent. The climate favors the insect, as well as the mulberry tree upon which it feeds. A little more inducement would pour forth silk enough",
59,1860,FIC,ElFureidis,A,B,C,"  down the staircase, crossed the garden, and gained the topmost terrace of the mulberry grove, which commands a prospect of the rocky pathway up which the procession is",
60,1879,FIC,NightOff,A,B,C,"  PROF. Professor (L.). "" No matter on second thoughts tell him Mulberry ""! I don't know any one of that name. SUSAN. He",
61,1928,NF,HelenKouesOnDecorating,A,B,C,"  an all-over rug of chenille, which could be in taupe or in a brownish mulberry tone, the former being preferable. The windows, of which there are two",
62,1891,FIC,FeastVirginsOther,A,B,C,"  the Crees or Dakotas -- His heart lingered still on the Rhone,' mid the mulberry trees and the vineyards, Fast-fettered and bound by the zone that girdled the robes",
63,2004,NEWS,CSMonitor,A,B,C,"  caterpillars, actually - feed exclusively on leaves from the mulberry tree. Silkworms eat mulberry leaves nonstop from the time they hatch until the time they start spinning their cocoons",
64,1865,NEWS,NYT-Ed,A,B,C,  well adapted to the production of silk. The soil is especially favorable; the mulberry is indigenous; and the climate is particularly well adapted for rearing the worms.,
65,1980,FIC,Americans,A,B,C,  Then give me a chance to show you what needs to be done in the Mulberry Bend. Stay over a few more days. We'll take a tour of,
66,1896,NF,PrehistoricTextile,A,B,C,"  33, 34 BARK clothing 17 fiber used in weaving 23, 24, 25 Mulberry, used for fringe 32 used in embroidery designs 28 net making 27 spinning 22",
67,1932,FIC,Sons,A,B,C,"  nothing more than a pattern of darkness and moonlight under the moving branches of the old mulberry tree. Slipping out of her clothes at last, she tossed them in a",
68,1920,NF,DaysBeforeYesterday,A,B,C,"  Lucrative as it is, it would never succeed in England even if the white mulberry could be induced to grow, for successful silkworm rearing demands such continual watchfulness and",
69,1998,NEWS,Chicago,A,B,C,"  up the flavors of the various woods, which can include oak, cherry, mulberry, juniper, chestnut and others. No set number of barrel transfers is required",
70,1880,FIC,BricksWithoutStraw,A,B,C,"  time when she should see Hetty in her sister's place, the mistress of Mulberry Hill. She had given up all fear of the property being claimed by others",
71,1901,NEWS,NYT-Reg,A,B,C,   19010811_3 txt At Police Headquarters in Mulberry Street yesterday there was every indication that the revelations made regarding police protection of gamblers,
72,1921,FIC,Play:Greatness,A,B,C,"  by the kitchen clock, Kitty. He looks at his watch again. KITTY MULBERRY Yes, sir. She goes. PRESCOTT I know that young woman. She",
73,1904,NEWS,NYT-Reg,A,B,C,"  attendance on the occasion of the dedication of the Subway Tavern, at Bleecker and Mulberry Streets, would bring en uproar of disapproval from the good people of the country",
74,1879,FIC,NightOff,A,B,C,"  , pulling out two articles to put in one, etc.) MUL. Mulberry (looking at his watch). The train starts in an hour, so",
75,1934,NF,UponFieldHusbandry,A,B,C,"  live, when there is but little Remainder of Wood and Bark left. When Mulberry Wood, by plashing, is kept low, and made to grow thick,",
76,1921,FIC,KingdomRoundCorner,A,B,C,"  little ceremony as an intruding peddler. VIII From Terry's house he went to Mulberry Tree Court, but the route that he chose was not direct. He drove",
77,1893,FIC,ColonelSellers,A,B,C,"  a poor, weak, silly old woman, but I'm your wife, Mulberry, and I feel that God lets me look at your heart as He does",
78,1992,FIC,Ploughshares,A,B,C,"  driveway. I pushed open the gate to Judy's backyard, where four dusty mulberry trees made circles of ineffectual shade. The lawn was almost dead, and the",
79,1944,FIC,Harpers,A,B,C,"  wedding. Every six weeks or so she would run away and come back to Mulberry Lane, where she made the air blue describing her prospective mother-in-law. This worthy",
80,1848,NF,PracticalTreatise,A,B,C,"  vines, heavy with ripening grapes, hung from bough to bough, through the mulberry orchards. "" Page 239. "" The vines which hung from tree to tree",
81,1998,NEWS,Houston,A,B,C,"  Prairie Dog Town Fork of the Red River and a second, 13,385-acre tract on Mulberry Creek that includes Goodnight's century-old ranch home. The ranch also includes three other",
82,1921,FIC,Play:Greatness,A,B,C,  make you stay so late. I hope you're not very tired. KITTY MULBERRY I'm never tired. And never been tired since I was sixty. When,
83,1934,NF,UponFieldHusbandry,A,B,C,"  and it is an increasing Burthen; if therefore we plant our Pasture Ground with Mulberry Trees, at about forty Feet Distance, especially those Lands which are dry and",
84,1833,NF,HistoryVegetable,A,B,C,"  the Greeks and Romans; though there is every reason to believe that they Blade Mulberry Morus nigra. were then, and perhaps earlier, known to the Chinese, and",
85,1899,FIC,BarbarasHeritage,A,B,C,"  swept all the way from distant blue hills over countless orange, olive, and mulberry groves filled the room, and fluttered the paper upon which the girls were writing",
86,1841,NF,Book,ATreatise,A,B,C,"  the Hudson Kiver. An admirable substitute for the fruit, is Downing's Seedling Mulberry, raised some years ago by Mr. Charles Downing, of Newburgh, and while"
87,1980,FIC,Americans,A,B,C,"  at once. "" The Sixth contains the worst slum in the city. The Mulberry Street Bend. I've decided to practice there. And to open a free",
88,1934,NF,UponFieldHusbandry,A,B,C,"  Trees to grow on. 6. Another Advantage, which we may expect from Mulberry Trees, is the Fruit; the white Mulberry Tree bears abundance more Fruit,",
89,1920,FIC,PoorWhite,A,B,C,  'll get you a man to whittle out a model of the machine. Allie Mulberry can do it. I'll get him for you. He can whittle anything,
90,1921,FIC,Play:Greatness,A,B,C,  continues to sort out papers -- reading a few lines now and then. KITTY MULBERRY comes in carrying a big scrap-book and a newspaper; she watches him silently for,
91,1928,NF,HelenKouesOnDecorating,A,B,C,"  . The color-scheme of the room is: walls painted pale green; rug, mulberry; glass curtains, pale green voile the color of the walls, under a",
92,1921,FIC,KingdomRoundCorner,A,B,C,  first of many such adventures. His tall limping figure became a familiar sight in Mulberry Tree Court. Very early in their friendship he took her advice and delighted her,
93,1926,NF,ChemistryInWorlds,A,B,C,"  noted how the silkworm is really a converter of cellulose, in the form of mulberry leaves, into silk fiber and concluded that, using the cellulose of wood,",
94,1981,NEWS,NYT,A,B,C,"  was assassinated in April 1972 as he celebrated his 43d birthday in a restaurant on Mulberry Street, also helped him to play the Levy part. "" Knowing Joey as",
95,1929,NF,NewRegionalGeography,A,B,C,"  and to a smaller extent in Spain, there chiefly on irrigated land. The mulberry is a deciduous tree with thin leaves, by origin a Chinese or summer-rain tree",
96,1970,NF,BuddhistLeader,A,B,C,"  "" "" London Bridge is Falling Down, "" "" Here We Go Round the Mulberry Bush, "" and "" Ten Little Indians. "" An attempt has even been",
97,1976,FIC,Play:DrumbeatsInGeorgia,A,B,C,  Councilor. HAMPTON And we still have hopes for our silk industry. Thousands of mulberry trees have been planted for the worms. (HAMPTON unwraps the volume he carries,
98,1843,FIC,VariousWritings,A,B,C,"  and enjoyed the inexpressible pleasure of observing the combustible countenance of Fishtyke, and the mulberry complexion of Deacon Brangle, in their various striking phases. As soon as the",
99,1973,FIC,WindShiftingWest,A,B,C,  sole so that it flapped loosely as she walked. In the side yard a mulberry tree was dropping its full purple berries into the grass. She heard them squish,
100,2003,NEWS,Atlanta,A,B,C,"  $10- $20. 770-507-2775. # MERCER UNIVERSITY. Performances at Grand Opera House, 651 Mulberry St., Macon. 478-301-5470, www.mercer.edu/thegrand. # Gran Ballet Folklorico de Mexico. 7",
101,1855,NF,WondersGeology,A,B,C,"  mile down a valley; and a thatched cottage, together with large olive and mulberry trees, most of which remained erect, were carried uninjured to this extraordinary distance",
102,2004,MAG,Sunset,A,B,C,"  technique also works well on flat land. 1 Plant deep-rooted trees (fig, mulberry, peach, plum) on tops of berms to help break up heavy soil",
103,1880,FIC,BricksWithoutStraw,A,B,C,  the African race. It was at this time that Pardee came one day to Mulberry Hill and announced his readiness to make report in the matter intrusted to his charge,
104,1845,NF,HeFruitsFruitTrees,A,B,C,"  , the Currant, the Vine, the Quince, the Fig, and the Mulberry. Cuttings of the Currant, Gooseberry, and the hardy sorts of Vine,",
105,1959,FIC,UglyAmerican,A,B,C,"  are, the better they are. Lenin said that. Which means that the mulberry and rice crops have to fail here. Which means that the road transport scheme",
106,1868,MAG,Galaxy,A,B,C,"  return to the autobiography. On one occasion, while holding a meeting in the Mulberry Street church, in New York, a young man, to raise a laugh",
107,1888,NF,StudyOfTheTextile,A,B,C,"  of costume, such as the tapa cloths, made from the bark of the mulberry tree, which are painted or stamped in elaborate geometric patterns. This transfer is",
108,1879,FIC,NightOff,A,B,C,"  hours are from five to six. It's now after eight. MUL. Mulberry (aside). She seems to be a little excited, too. Takes",
109,1916,NF,QuestQuaint,A,B,C,"  Telemachus and Calypso "" in dull blue or "" The Siege of Troy "" in mulberry, but it would be as presumptuous to dictate to a Bowdoin as to a",
110,1893,FIC,NibsysChristmas,A,B,C,  no homes in New York's poor tenements. Down the crooked path of the Mulberry Street Bend the sunlight slanted into the heart of New York's Italy. It,
111,1879,FIC,NightOff,A,B,C,  .) The terror of the two ladies must not be exaggerated. MUL. Mulberry (affected). It's about my misguided son. The Professor told you,
112,1874,NF,DavidCrockett,A,B,C,"  the Elk River, in what is now Lincoln County. At the mouth of Mulberry Creek the adventurous emigrant found his promised land. It was indeed a beautiful region",
113,1882,MAG,Century,A,B,C,"  people were engaged in rearing silk-worms. The men cut off large branches of the mulberry trees, and the women pick the leaves, wasting the halfripe fruit which grows",
114,1983,NEWS,NYT,A,B,C,  California poppies. Prince Philip wore a dark lounge suit. Mrs. Reagan chose a mulberry and gold chiffon dress by Galanos with which she wore a gold metal leaf choker,
115,1914,FIC,DianeGreenVan,A,B,C,"  evolution. Outside, the moon is very bright upon the lake. The "" Mulberry Moon, "" Nanca called it, and loved its light. It shines in",
116,1934,NF,UponFieldHusbandry,A,B,C,"  original Value of the Land. And we know, by Experience, that a Mulberry Tree improv'd for Silk, will yield more Profit than an Apple Tree of",
117,1921,FIC,Play:Greatness,A,B,C,"  Gaily, suddenly, his voice a little strangled. You're right, Kitty Mulberry; that's the way to take it! That it's been a great",
118,1950,NF,ForestProducts,A,B,C,"  gums. | hackberry, hemlocks, hickories, larches, locusts, maples, mulberry, oaks, pines, poplars, redwood, sassafras, spruces, sycamore,",
119,1849,FIC,MardiVoyageThither,A,B,C,"  approach: but seated on a green bank, beneath the shade of a red mulberry, upon the boughs of which, many an owl was perched, he seemed",
120,1880,FIC,BricksWithoutStraw,A,B,C,  as by the report that had gone out from the servants of her presence at Mulberry Hill. When Hesden Le Moyne came to inform her of the messenger's arrival,
121,1879,FIC,NightOff,A,B,C,"  ). I'm sorry. He's not in, either. MUL. Mulberry And I am sorry, very sorry. ANG. Angelica If you wish to",
122,1944,FIC,Play:PolkCounty,A,B,C,"  me just like anybody else. Thats how come I likes to visit down at Mulberry. Ella Wall, and two three more likes me fine down there. LAURA",
123,1860,FIC,ElFureidis,A,B,C,"  , and its seclusion rendered still more complete by a thick grove of olive and mulberry trees, which skirted the edge of the precipice. So snugly indeed was the",
124,1844,NF,MentalMoralCulture,A,B,C,"  Fishery. Lancashire Ox. St. Peter's, and Bridge of St. Anelo Paper Mulberry. Foxglove Plant. Great Bird of Paradise. Market Crni*s at Devizes. Giraffe*",
125,1934,NF,UponFieldHusbandry,A,B,C,"  to the Pound; but moving into a new Town, where there were no Mulberry Trees, he was obliged to desist; a Woman of Experience in this Business",
126,1879,FIC,NightOff,A,B,C,"  . MRS. B. Mrs. Babbitt (suddenly interested). What? MUL. Mulberry Ruined himself, and finally bolted to America. (Crosses to R.) ANG",
127,1860,FIC,ElFureidis,A,B,C,"  almost awed by the utter stillness, Meredith passed through the enclosure and entered the mulberry grove. He was met by M. Trefoil, returning from an afternoon visit to",
128,1880,FIC,BricksWithoutStraw,A,B,C,"  "" said his mother, "" and hear what terms your new cousin wants for Mulberry Hill. I hope we won't have to move out till spring. It",
129,1879,FIC,NightOff,A,B,C,"  ! PROF. Professor (bounds up). I beg pardon. MUL. Mulberry (sits, L. To himself, in a passion). The luck --",
130,1999,NF,LetsGetLost,A,B,C,"  silk factory is part greenhouse (for the propagation of a single plant, the mulberry), part chemical processor (to extract the skin from the pupa),",
131,1934,NF,UponFieldHusbandry,A,B,C,"  , for, besides the Leaves for Silk, I know by Experience, that Mulberry Trees, a little seasoned, makes most excellent Fire Wood",
132,1907,NF,ThreeAcresLiberty,A,B,C,"  lack of food, as the worm thrives best on the leaf of the white mulberry tree. Until a substitute is found, it will be necessary therefore to set",
133,1895,FIC,DaughtersRevolution,A,B,C,"  England. Children sang it in the play, "" Here we go round the Mulberry bush. "" The popularity of Nancy Dawson was at its height in 1769.",
134,1880,FIC,BricksWithoutStraw,A,B,C,"  often, and is very much interested in it. I have been over to Mulberry Hill once, and saw the dear old' Mistress.' She has failed",
135,1841,NF,Book,ATreatise,A,B,C,"  . Ord. Urticacece. Lin. Syst. Dioecia, Tetrandria. The Paper mulberry is an exotic tree of a low growth; rarely exceeding twenty-five or thirty feet"
136,1996,FIC,SouthernRev,A,B,C,"  say. # "" A man at oyster restaurant on Mulberry Street. "" "" Mulberry Street? That's not in Brooklyn. "" Ivan stands up again, and",
137,1889,NF,HistoryPhoenicia,A,B,C,"  west down a beautiful valley, where the terraced slopes are covered with vineyards and mulberry groves, and every little dell, every nook and corner among the jagged rocks",
138,1934,NF,UponFieldHusbandry,A,B,C,"  male Plants, which bear no Fruit. A third Way of propagating the black Mulberry Tree, is, by digging up the young Trees, where-ever we can find",
139,1900,FIC,BradysBeyondTheir,A,B,C,"  ; or, The Bradys Trapping a Confidence Queen. 88. The Bradys in Mulberry Bend; or, The Boy Slaves of "" Little Italy. "" 89.",
140,1879,FIC,NightOff,A,B,C,"  live like turtle-doves (aside), or did until this afternoon. MUL. Mulberry (crosses to L. -- strikes table with his clinched fist). Death and",
141,1895,MAG,NewEngMag,A,B,C,  community started about the time that the Morus mul/icaulis rage reached its height. The mulberry trees were already growing upon the hills surrounding Florence. In this department of silk,
142,1886,FIC,AnAlgonquinMaiden,A,B,C,"  moosehair, dyed blue and red, robes curiously plaited of the bark of the mulberry, and adorned with bear claws, hawks' bills and turtle shells. Besides",
143,1841,NF,Book,ATreatise,A,B,C,  more easily gathered than those of any other tree of the genus. THE PAPER MULBERRY TREE. Broussonetia. Nat. Ord. Urticacece. Lin. Syst. Dioecia
144,1935,FIC,RedSkyInMornin,A,B,C,  and put out thousands of paper lanterns which had bobbed all night through under the mulberry trees. It was like walking through a land inhabited by big lightning-bugs. Flowers,
145,1841,FIC,JulianScenesIn,A,B,C,"  denoted habitations at hand, we perceived not far before us, beneath a spreading mulberry, one of the humbler dwellings of which we had passed so many. No",
146,1944,FIC,Harpers,A,B,C,"  procession, not a one of them turning, went silently into the mouth of Mulberry Lane. Not until the last rigid back had disappeared around the corner did a",
147,1944,FIC,Harpers,A,B,C,"  the gang dissolved before her, she fled across the bridge into the mouth of Mulberry Lane. My life has not been without its simple joys, but I have",
148,1934,NF,UponFieldHusbandry,A,B,C,"  , than they, in the Choice of our Trees; let our's be Mulberry Trees, which are, upon all Accounts, preferable, for, besides the",
149,1879,FIC,NightOff,A,B,C,"  . PROF. Professor' 48-' 85, thirty-seven years ago. MUL. Mulberry How time passes! Well, my eldest son was born. PROF. Professor",
150,1879,FIC,NightOff,A,B,C,  (Aside.) I must have been very confidential with him. MUL. Mulberry (presses his hand to his head and speaks solemnly). Is the marriage,
151,1997,MAG,Time,A,B,C,"   357898 The old tractors just keep coming around the corner of Mulberry and Main in downtown Wilmington, Ohio, a sputtering battalion of Oliver Super 55s",
152,1866,FIC,WashingtonIrving,A,B,C,"  with trappings of azure silk which reached to the ground. The housings were of mulberry, powdered with stars of gold. He was armed in proof, and wore",
153,1879,FIC,NightOff,A,B,C,  What do we care for your Jack? MRS. B. Mrs. Babbitt (seizes MULBERRY). One word! Do you know Camille? MUL. Mulberry Camille!,
154,2000,MAG,AmericanCraft,A,B,C,"  NAKASOUntitled (Blue and White), 1994, detail, watercolor and ink on mulberry paper, hand-cut, 25 by 26 inches, photo/Sarah Grew. // ASIA IS",
155,1906,NF,NewEarth,A,B,C,"  Norway maple, box-elder, hard maple, honey locust, coffee bean, Russian mulberry, cottonwood, Lombardy poplar, silver poplar, hackberry, plane tree and the",
156,1958,FIC,Terrace,A,B,C,  It was all very still -- just the jays screaming at each other in the mulberry trees. Then the priest picked up his satchel quickly and walked down the path,
157,1920,FIC,PoorWhite,A,B,C,"  he got to Pickleville he did not go into the shop where Hugh and Allie Mulberry were at work, but turning, walked back toward town in the mud and",
158,1943,NF,scan,A,B,C,"  used in this northern country, while in Burma and Tibet a species of the mulberry tree yields the papermaking fibre. In Europe and America handmade paper is regarded as",
159,1950,MAG,ReadersDigest,A,B,C,"  for hours at a time, outdoors and in. They studied under tulip and mulberry trees, and everything that could "" hum or buzz or sing or bloom """,
160,1993,FIC,StrangeDevices,A,B,C,  all possible material He left strips of bark turning white on the trunk of the mulberry tree; he poked round holes in the soles of work boots; and one,
161,1934,NF,UponFieldHusbandry,A,B,C,"  with having afforded us Instruction, in such a Time of Need. The white Mulberry has stood highest in Nomination, and has been most in Vogue, in Conversation",
162,1879,FIC,NightOff,A,B,C,"  unsuggestive alias of Chumley is concealed the identity of your old college chum -- Jack Mulberry. "" (Speaks delightedly.) Jack Mulberry! (To MARIA.)",
163,1879,FIC,NightOff,A,B,C,"  Babbitt, will you quietly but firmly show this person the door? MUL. Mulberry (amazed). Show me the door! But I thought it was all",
164,1996,FIC,PeopleLightning,A,B,C,"  it. "" Cottonmouth stared at his warriors. They shifted uncomfortably. Anger creased Mulberry's young face, hardening his jaw. Boldly, he stepped closer. """,
165,1874,NF,DavidCrockett,A,B,C,"  luxuriantly spread tables of Paris or New York. Upon the crystal banks of the Mulberry River, David, aided by his father-in-law, reared his log cabin. It",
166,1879,FIC,NightOff,A,B,C,  . Professor I trust you've had no bad luck with yours. MUL. Mulberry (glares at him). You actually talk as if I had not told,
167,1914,FIC,DianeGreenVan,A,B,C,"  and mates. And I -- I am very lonely. "" But by the time the Mulberry Moon of the Seminoles blanketed the great marsh in misty silver Diane was restlessly on",
168,1926,NEWS,NYT-Reg,A,B,C,"  using was about over, Chief Magistrate in the Municipal Term Court, 300 Mulberry Street, suspended sentence yesterday on forty-eight violators of the smoke ordinance. In the",
169,1934,NF,UponFieldHusbandry,A,B,C,"  beautiful Appearance. In Italy, where they raise so much Silk, in planting Mulberry Trees, they not only consult their Profit, but their Pleasure too; for",
170,1882,MAG,Century,A,B,C,"  wheels winding the silk spun by their own silk-worms, which are fed on the mulberry leaves grown in the garden. All looked bright and intelligent, and strikingly clean",
171,1945,NF,LivestockChina,A,B,C,"  leaves. The sheep in turn provide meat and wool, and manure for the mulberry trees. Shearing practices vary in different areas. In Tibet and adjacent areas shearing",
