year,adjective,keyword,text
2007,big,black,"was only five years old, and a big black bear had wandered into their garden. abigail had just finished her daily weeding when"
1921,big,black bear,", attacks anything bigger than woodmice. a big black bear had flung itself upon the back of the bellowing, struggling bull and was"
1912,big,butterfly,"he and the grasshopper were walking along again, they saw a beautiful, big butterfly sitting on a tall, yellow poppy. it was quite still. so billy"
1898,big,cactus,"the direction now. i took note of that big cactus ahead, last night -- hist!""""dios de mi alma!""whispered"
1835,big,chestnut,"do. so, major, you will have to ride down to the big chestnut, on the bank of the river, just under the rock that we call"
1853,big,chestnut,"here come the knaves. look here, messire! here, over that big chestnut, you may perceive the fluttering of their garments down in the valley of the"
1862,big,chestnut,"his eyes: -- time, morning. scene, this glade of the big chestnut. a man lies under the tree. the first sunbeams melt the frost that"
1883,big,chestnut,"gentleness, and reaching back for his musket.""there, by that big chestnut. can't you see him? or have you got so much whisky in"
1919,big,chestnut,to the tree where he insists he left his stick. it is a big chestnut some hundred and fifty feet beyond the point where the ravine turns west. it
1938,big,chestnut,"garden wall, the abandoned well, the gooseberry thicket, to the three big chestnut trees and the low brick wall of the graveyard. we were there so quickly"
1938,big,chestnut,"upon which johnson, one of the grave diggers, was leaning by the big chestnut that shot up out of the graveyard beyond the grave; in the corner of"
1892,big,cottonwood,"and throwing themselves under the spreading branches of a big cottonwood. one of them, darker and somewhat heavier built now, but muscular"
1906,big,cottonwood,",""he replied respectfully,""but the big cottonwood with the dead branch forking out at the top is the ford guide."
1912,big,cottonwood,. the meeting-place of the men was under a big cottonwood that stood by the bank of the little stream curving past the bar t.
1931,big,cottonwood,"not his audience.""you know that there big cottonwood left standin' north of the cemetery? well, i'll tell175a white"
1946,big,cottonwood,"looked as they always had. there was the big cottonwood, with the broken limb flying its yellow leaves, the buffalo-berry bush showing"
1999,big,cottonwood,". he was in the heavy shadow of a big cottonwood and felt safe from peering eyes, so without wasting time to mask his"
1871,big,cypress,"heard old jarvis say:""it's the big cypress yonder, in the thicket, ain't it?""she stopped short"
2003,big,cypress,"a glow ahead in the root tangle of a big cypress. trash, i thought, pulling two strokes hard in that direction."
1918,big,elm,"she walked across the road, set the telescope on the grass under a big elm tree, and sat down beside it.""i find i am rather tired"
1956,big,elm,"gardens vanished. snow capped the fence posts, and each branch of the big elm tree that sheltered the church was black stroke under white. the snow sifted through"
1958,big,elm,", flying from the topmost twig above the copper-colored leaves. it was a big elm tree, the biggest and prettiest tree on the campus, where many of us"
1913,big,grasshopper,", waiting for something, when along came the big grasshopper in a hesitating, uncertain manner of flight. as it hovered above the"
1913,big,grizzly,"from among those loose rocks there? a great big grizzly bear; and making straight for the pack mule, sniffing the air as"
1932,big,grizzly,"whoops. california waved its own flag with its big grizzly bear, and the other delegations indicated their approval in ways less demonstrative."
1834,big,hemlock,"across the hollow, when i came to a big hemlock, which was lying in the edge of a thicket of mountain cottonwood and"
1884,big,hemlock,"rush for; joe. who dashed behind a big hemlock tree, and began running around it, thinking he could elude the bear"
1936,big,hemlock,ground and started peeling sheaths of bark from a big hemlock. he used his hatchet and scalping knife together. for a while nancy
1898,big,juniper,"rain, i searched for a dry bed, and made choice of a big juniper that had been pushed  down by a snow avalanche, but was resting stubbornly"
1894,big,lilac,"front door. the street turns a corner around the garden, where a big lilac bush grows. the centre house belongs to the frietchies, and over its steps"
1904,big,lilac,"steep, grassy bask, with the two tall elms in front, the big lilac bush at the door, and the cinnamon rosebushes straggling down to the road,"
1909,big,lilac,"best of repair. but the place was neat and clean, with a big lilac bush just inside the gate, giving it an air of home-like privacy; and"
1917,big,lilac,"the road -- you were standing near the gate -- madeline nods -- that big lilac bush behind you -- there'd been a shower and""the sun had come"
1961,big,lilac,of them with one shot. then i buried the furry ruins under the big lilac and i was miserable in the stomach. it was simply that i had grown
1963,big,lilac,"never cried -- until he heard the news. behind will one of the big lilac trees was moving a little in the wind, all its flowers shriveled and brown"
1980,big,lilac,"trees -- hawthorn, a judas tree, and, very near, a big lilac coming out in purple pyramids. there is a fountain and -- concealed -- a"
1998,big,lilac,"did. but i finally found her next door, way up in a big lilac bush. she looked like she'd climbed up there using both wings and both"
1916,big,lizard,"there was no profit in it, it must have been sport. the big lizard took himself off at a leisurely gait, and i went on through to the"
1921,big,lizard,at that had all sorts of good reasons for streaking out.' a big lizard went rustling through a pile of dead leaves and all three of them started.
1941,big,lizard,"her, but the dog was actually smaller than the reptile, and the big lizard simply half rose and hissed at her. wriggles was charmed. she approached closer"
1945,big,lizard,"awake listening to the hum of mosquitoes, counting the loud talk-kay of the big lizard in the trees, for when his call is repeated seven times it brings good"
1901,big,otter,", and paddled hastily to find out about it. two beavers and a big otter were locked in a death struggle, diving, plunging, throwing themselves out of"
1901,big,otter,"western light, a string of silver bubbles shot across the stream and a big otter rose to the surface with a pickerel in his mouth, all the watching that"
1928,big,owl,"sat perfectly still. samson crow perched on a branch and shouted at the big owl, but the big owl did not even turn his head, nor change the"
1902,big,porcupine,"from within; simmo sprang away with a yell; and out wobbled a big porcupine, the biggest i ever saw, and tumbled away straight towards my tent."
1944,big,snail,"a relic. among the indian objects some are very interesting, such as big snail shells with ornamentations. the shells must have come from the gulf of mexico and"
1876,big,sycamore,"your object trees.""""well,""said sam,""the big sycamore yonder will do for one, and that tall leaning pine away over there almost"
1911,big,sycamore,"off to care to listen longer to the talkative landlord.""see that big sycamore over yonder?""and the landlord pointed through the open door to where a"
1914,big,sycamore,"advanced toward the two children, who had come to a halt under a big sycamore. then, as alice was about to call, she uttered an exclamation of"
1921,big,sycamore,"other two ways are through the pine grove to the left and from the big sycamore by the stream.""""and how do you know all that?"""
1934,big,sycamore,. we ate our sandwiches and drank ice-cold tea in the shade of the big sycamore. after lunch tom said he would go back to the dam and try the
1937,big,sycamore,chairs stationed there like sentinel ghosts in the middle of the lawn under the big sycamore tree. sheila sniffed and growled. i felt her long red | body stiffen
1945,big,sycamore,from putting on a fly and saw him round the bend there by the big sycamore and then i forgot all about him. the blue pool is wonderful rock bass
1958,big,sycamore,"- up. jackie bowlen left the road and ran into a swamp beside the big sycamore and mired up to his waist. young people were running in all directions."""
1961,big,sycamore,"through a tangle of briars. ahead of him in the fork of a big sycamore were the remains of a tree house. the climbing-cleats, nailed to its shaggy"
1971,big,sycamore,walking on cornflakes. we came to an opening in the trees. the big sycamore 41 | which partly overarched it had been burned. smoke was still rising from
1981,big,sycamore,"feet. the root was part of the exposed, gnarled root of a big sycamore that had been almost undermined by the flow of the stream. it provided a"
1984,big,sycamore,"n't know how to climb down. we'd once left him up the big sycamore in front of the house for three days, hardening our hearts to his shrieks"
1986,big,sycamore,". late one evening, tired and exhausted, i sat down by a big sycamore and called my dogs to me.""it's all over,""i"
1890,big,wolf,". reaching a clear space, he saw before him the form of a big wolf. the animal was standing immovable, his tail drooping, his head horizontal."
1877,bright,buttercup,"sapphire dye, for the gay gold of the bright buttercup spangling the green sod on the other side -- for the lake's breadth was"
1846,bright,butterfly,"his wanderings in the woods and fields. it might be fancied that the bright butterfly, which had come so spirit-like into the window as owen sat with the rude"
1935,bright,cactus,"one had the promise been fulfilled, and the bright cactus flower had blossomed on the leather leaf. on one side were the ginger"
1843,bright,geranium,"cones of the cedar; and the pansy and bright geranium live not alone for beauty, nor the waxen flower of the arbute,"
1855,bright,lilac,"unknown in english collections. it blossoms in april; the flowers are a bright lilac, and i could lay my band upon it at any time, as i"
1888,bright,lizard,", and as though turned into stone. he had hardly breathed. a bright lizard gliding from out a crevice in the wall had sunned itself in a little rift"
1853,bright,lobelia,. i know where the blue eyed anemone blossoms; i know where the bright lobelia nods its royal scarlet head; (i know how to pull off my shoes
1846,bright,oriole,"of strength and peace to cheer life's slow decline...... there the bright oriole built his airy home, pendent from slender bough, beyond the hope of truant"
1854,bright,oriole,"), 1814-1877: address to the oriole. from the poetical works (1854) oriole, bright oriole! stay, and that clear note prolong while each fibre of"
1854,bright,oriole,": address to the oriole. from the poetical works (1854) oriole, bright oriole! stay, and that clear note prolong while each fibre of my soul throbs"
1948,bright,snake,"safe. the burning stars explode. the beautiful insect bears death, the bright snake, death. love is a vacuum. the eyes of mortals are to each"
1905,bright,warbler,fox. in the spring one may sometimes see a bluebird or redbird or bright warbler for a moment upon the ground. how artificial and accidental it looks. like
1961,bright,woodpecker,"daze of weariness and vacuity, malone walked through the november twilight. a bright woodpecker pecked hollowly at a telephone pole. the afternoon was silent except for the woodpecker"
1831,brilliant,butterfly,"in their abuse-till he is condemned, who paints the rose, gilds the brilliant butterfly, spreads over the heavens the purple hues of sunset, and tunes the voice"
1856,brilliant,butterfly,"from my shell and come forth, as i imagined, a beautiful and brilliant butterfly, soaring up above the gaze of my astonished and admiring companions. yes;"
1927,brilliant,butterfly,"captain jerome bonaparte.""elizabeth smiles. no moth this, but a brilliant butterfly, the most gorgeous she has ever seen? of the species""emperor."
1993,brilliant,butterfly,", and ecologists gathered for the first time to discuss the plight of the brilliant butterfly. # the conferees concluded that an abnormal cold snap was the primary reason for"
1855,brilliant,geranium,the fire-place was nearly filled with a vase of brilliant geranium. on a triangular shelf in each angle of the room stood also a
1916,brilliant,lilac,"clear, green foliage and the highly colored petals. quite un-english is the brilliant lilac seen in two of the flowers. josiah spode, jr., was a potter"
1846,brilliant,lizard,", and wait for all things to come to me?""even the brilliant lizard, when he crawled over his bark, or twined about his stems, roused"
1884,brilliant,lizard,spring verdure; they are like nothing in nature except the glitter of a brilliant lizard in the sun or the iridescent sheen of a peacock's neck. father salvierderra
1914,brilliant,lizard,"alligator. so dense and dark this terrible haunt of snake and bird and brilliant lizard that carl shuddered, but keela, dismounting, tethered her horses to the nearest"
1829,broad,sycamore,my absence.' the lovers were standing partly in the shadow of a broad sycamore that threw its branches over the little stream at their feet. the water there
1879,broad,sycamore,"winding on under dim-vaulted woods, whose woven boughs of beech and maple and broad sycamore throw their soft, moving shadows o'er the wave; while blossomed vines, dropped"
1907,busy,kingfisher,"a gate post singing his broken june tune, cuckoo-cuk,' while a busy kingfisher crossed from the mill stream to the brook which ran on the other side of"
1909,busy,squirrel,"back and forth upon the fallen leaves. only a dropping nut or a busy squirrel broke the exquisite peace of the forest, where the myriad life of the woods"
1867,busy,woodpecker,", charles warren, 1843-1909: the woodpecker. from poems (1867) a busy woodpecker! what would you call this monk of a fellow, tapping a tree with"
1871,cautious,muskrat,"yet oft he fed the titmice from his hand; and the old, cautious muskrat, who, behind this hermit's hut, had built himself a house,"
1863,courageous,flycatcher,"other defenseless birds within its reach. the little courageous flycatcher bemti-vi (saurophagus sulphuratus) assembles in companies of four or five, and"
1902,deep,birch,"do -- and i were to go back to the glen and the crag and the deep birch woods, i suppose that i would hunt again, would drive the stag to"
1840,deep,hemlock,", when the luckless captive found himself traversing a deep hemlock forest, with""the spreading dew""for his guide. the indian"
1912,different,butterfly,"to conceive the greatness of a being who could devise and colour all those different butterfly wings. i would try to decide whether he created the birds, flowers,"
1851,elegant,herbaceous,"flourishes in light, sandy loam, /z/ an elegant herbaceous perennial plant, from california, where it is found in very sandy soils"
1987,errant,butterfly,", and golden sunlight fell in patches on the floor of the forest. |p222an errant butterfly, its patterned wings a blaze of irridescentblue and gold, flitted out from among"
1827,expectant,raven,"distant and stifled groans of the dying courser, or the cry of some expectant raven eager for the repast ere its victim yielded to death as it flapped its wings"
1957,fat,mallard,"feet hanging out and wings cocked. there is no easier target than a fat mallard or pintail grabbing for water with his feet and his wings locked. well,"
1882,favorite,bee,"meet me here, just in the cool of this rill-shadowing bough; my favorite bee, my fairy of the flowers, shall bid thee come to that pure tryst"
1992,favorite,clematis,"favorite, and if i am asked what my favorite clematis is, i reply that i really have not got one, unless it"
1934,favourite,tortoise,", and when he came to king's norton he brought billy, his favourite tortoise, with him. to be surrounded by a hard shell, to put your"
1872,fine,birch,"travelers who were obliged to pass that way. first he appealed to a fine birch which bordered the forest.""not i, indeed!""answered the tree"
1868,fine,butterfly,"jack.""i think i like the little gray moth better than the fine butterfly,""returned jack, who, in spite of his invitation, seemed to"
1905,fine,butterfly,"was almost starved; when peeping out of the shell, he saw a fine butterfly settled on the ground. he now ventured out, and getting astride, the"
1904,fine,cypress,"ever seen. here also were more of the fine cypress trees, all of them from four to five hundred years old, one"
1922,fine,herbaceous,"of great size, and the undergrowth consisting of fine herbaceous plants, tree-ferns, and shrubby vegetation. i was struck by the immense"
1871,fine,magpie,"the plain, when sumichrast suddenly fired. he had caught sight of a fine magpie, of an ashy-blue color, with its head crowned by a tuft; its"
1912,fine,thistle,"cameras, and high hopes in my heart, i passed an unsuually large fine thistle, with half a dozen thysbe moths fluttering over it as if nearly crazed with"
1849,formidable,birch,"foot of a woody hill, with a brook running close by and a formidable birch tree growing at one end of it. from hence the low murmur of his"
1831,fragrant,birch,"murdered traveller's bones were found, far down a narrow glen. the fragrant birch, above him, hung her tassels in the sky; and many a vernal"
1831,fragrant,birch,"murdered traveller's bones were found, far down a narrow glen. the fragrant birch, above him, hung her tassels in the sky; and many a vernal"
1841,fragrant,birch,"the drooping branches, are interesting to the lover of nature.""the fragrant birch above him hung her tassels in the sky, and many a vernal blossom sprung"
1893,fragrant,birch,"murdered traveller's bones were found, far down a narrow glen. the fragrant birch, above him, hung her tassels in the sky; and many a vernal"
1893,fragrant,birch,"murdered traveller's bones were found, far down a narrow glen. the fragrant birch, above him, hung her tassels in the sky; and many a vernal"
1980,fragrant,fir,"except that from the candles on the small, fragrant fir tree. hands locked behind his back, gideon paced in front of the"
1875,fragrant,geranium,"babe perished in the sepoy butchery. dropping the fragrant geranium sprig that so tormented the cat, the girl's fingers interlaced tightly,"
1883,fragrant,honeysuckle,"great thickets of glossy-leaved laurel, by banks of fragrant honeysuckle, by beds of millions of sweet-breathing, velvety pansies, nestling under huge"
1967,fragrant,honeysuckle,"structures were grown with thorn and moss and incongruously fragrant honeysuckle. in the center, under a splintering arbor that bore withered vines of"
1894,fragrant,juniper,"arbor vit fine, some the hemlock, some the fir, some the fragrant juniper, some the cedar melancholy; but at length we chose the holly, bringing"
2002,fragrant,juniper,in splashes of sunlight; patches of melting snow hiding in the shadows of fragrant juniper. the rider directed his mount to the rim of the sandstone cliff. snuffy
1898,fragrant,lilac,"tearing their clothes on the spiked brush and the thorns of the sweetbrier, fragrant lilac petals falling in a shower about them, great ferns trodden and rebounding. the"
1902,fragrant,lilac,"rice. as he stood upon the door-step, shaded on either side by fragrant lilac plumes, he resolved to be particularly brief, though impressive, in his pastoral"
1865,frisky,antelope,"bounded, with naked feet, over hills and plains like the wild and frisky antelope. it was a onlucky moment for us when chris. sot his foot onto"
1974,giant,lizard,"i can assure you, to hold in your hand the remnant of a giant lizard who stood 70,000,000 years ago where you now stand. warning. you understand,"
1910,giant,salamander,"should get in time the bony five-toed limb. we have many of these giant salamander forms in the rocks. the reptile now evolved from the amphibian, and a"
1906,good,clover,"thus it is that lands which have grown black ash and tamarack generally make good clover lands also. but clover will not succeed well on unreduced peaty soils, since"
1885,gorgeous,butterfly,"is considered vulgar, and""voted low.""still, even the gorgeous butterfly feeds on something, and it is, therefore, hardly to be wondered at"
1914,gorgeous,butterfly,"buzzard floated with uptilted wings above the sparse woodland to the west. a gorgeous butterfly, silver-spangled, winged its way over the saw palmetto and sedge between the trees"
1915,graceful,antelope,"not often, they were overtaken and devoured on the spot. bands of graceful antelope bounded out of our way, stopping on a knoll to watch the strange procession"
1874,graceful,birch,"spots clumps of spruce are seen, against which the white stems of the graceful birch stand out in bold relief; while the bank of some stream, or the"
1820,graceful,butterfly,"in my bower, almora still will live for you. be thou the graceful butterfly, that flutters o'er yon gay parterre, the changeless amarantha, i will wait"
1993,graceful,butterfly,"and habit, might become a caterpillar, and finally, perhaps, a graceful butterfly. this had little to do with religion, as most people thought of it"
1879,graceful,clematis,". an old tin was completely covered by a graceful clematis mixed with streamers of virginia creeper, and white muslin curtains, and above"
1986,graceful,deer,"floor. the flickering light of the fatfueled lamps created haunting optical illusions: graceful deer with bushy antlers appeared to canter across the cavern, wild cattle? 18 feet"
1981,graceful,heron,"to tell her. fidelio was like a bird, robin thought -- a graceful heron gliding through the air, or a ruddy turnstone flitting from rock to rock,"
2004,graceful,sycamore,"creek just east of sharpsburg, maryland. beside it spreads a huge, graceful sycamore that was little more than a sapling on september 17, 1862, when more"
2007,hardy,geranium,"proli self-seeder-surround a birdbath. hellebore foliage, a hardy geranium with magenta flowers, and a variegated hosta draw your attention to more woodland"
2001,hardy,muskrat,", reinforcing them with mud. these lodges have underwater entrances, and the hardy muskrat can hold its breath for up to 15 minutes. the muskrat is a highly"
2001,hardy,muskrat,"and the hardy muskrat can hold its breath for up to 15 minutes. the muskrat is a highly adaptable creature, and its plight in the meadowlands has actually improved"
1888,hoary,cypress,"again, waking at dawn, and making the hoary cypress wood merry with their carollings to the wives and younglings in the nests."
1871,innocent,snake,"! take me away!""""poh, dotty; nothing but an innocent snake; he's more afraid of you than you are of him."""""
2007,inquisitive,black,", trails to keep clear, and an inquisitive black bear to shoo away from interpretive signs. but the real work began when the"
1931,inquisitive,grasshopper,"as if in answer to my quest, an inquisitive grasshopper lighted on my knee. when i grabbed him as excellent trout medicine,"
1914,inquisitive,lizard,"to amuse himself, until he fell asleep, watching the antics of an inquisitive lizard which in turn was watching him from a crack in the sun-baked adobe wall."
1974,inquisitive,otter,"but before the abalone would have a chance to clamp down securely, an inquisitive otter would steal it and foil our plans of photographingtool-use. whenever we located an abalone"
1955,interesting,beetle,"nosed into the grass on the trail of an interesting beetle. stiffly the boy went to stand before the window, and there was"
1909,large,antelope,"be the little forest-haunting liberian hippopot. amus. there are also stories of a large antelope, with a few white spots or markings, which has very disproportionately small horns"
1946,large,birch,"however, dr. james and berenice lingered a while in the shadow of a large birch tree, and then walked slowly down the slope along a winding path, as"
2002,large,birch,branches that i positioned jutting out from the torso. the legs were two large birch saplings with plenty of spring for running and jumping. these i laid angled to
1889,large,bison,", in the autumn months, very fat. audubon says:""a large bison bull will generally weigh nearly 2,000 pounds, and a fat cow about 1,200 pounds"
1856,large,black,"he soon discovered that his competitor was a large black bear. the animal outran him, tore up the ground, and sported before"
1899,large,black,while she was thus hard at work a large black bear came along from the opposite direction. i happened to be out in the
1930,large,black,"path beyond the dillard place they met a large black bear. phyl knew the dillard boys would be right behind him, and she"
1962,large,boxwood,flat on the lawn and squirmed around to peer at the house under a large boxwood which flanked the roses lining the terrace. the kitchen door banged and a shiny
1897,large,buckeye,point he pulled his horse up violently. a large buckeye tree stood on the roadside a hundred yards ahead. its large thick leaves
1883,large,butterfly,"place in the shade, i watch with lazy interest the career of a large butterfly, - a rich ethiopian, with gorgeous decorations. in the parched and discouraged"
1886,large,butterfly,"from a honey-cup, or resting on a leaf or twig, was a large butterfly with black-velvet wings and spots and bands of blue and red and yellow."""
1898,large,butterfly,"; but at last he ventured to peep out, and seeing a fine large butterfly on the ground, near the place of his concealment, he got close to"
1992,large,cactus,".""we decided to use a lot of large cactus here,""bollinger says,""because when the plants are really large"
1832,large,chestnut,"did not run many paces before they halted at the root of a large chestnut that threw its aged and ponderous branches over an extensive surface, and whose distant"
1835,large,chestnut,"the huntsman the favor that spared his life. with the exception of a large chestnut near the edge of the cliff, and of some venerable oaks, that had"
1849,large,chestnut,"far from two hundred annual rings or layers to the foot, in the large chestnut tree already mentioned, now standing upon the entrenchments. this would give nearly six"
1921,large,chestnut,"to record that tish grew more companionable after luncheon, and got into a large chestnut tree near the house by climbing on top of the hen house. we had"
1937,large,chestnut,"the past twenty-five years a disease or blight has almost completely destroyed all the large chestnut trees over practically all of our eastern states, and for the past few years"
1834,large,cottonwood,"encamped was wide and grassy, and shaded with large cottonwood. traveled this day near twenty miles, in a due south-east course."
1948,large,cottonwood,as the scene progresses. to one side a large cottonwood tree. nat enters from the cornfield with a hoe and dripping with sweat
1849,large,crocodile,"above the water. we saw with surprise a large crocodile on the opposite shore, motionless, and sleeping in the midst of these"
1929,large,crocodile,"roots of the tree and water with a dozen large crocodile heads looking expectantly up at them with yawning throats, lashing playfully their tails"
1972,large,crocodile,"vegetation of the bank, a species of very large crocodile, called by martin caymanos, which he informed us are great eaters 30"
1846,large,cypress,"cast over an angle of the wall by a large cypress. i seized the arm of cassius, to check his speech""--"
1921,large,deer,"daniel peered over john howland's broad shoulder just in time to see a large deer disappearing into a thicket of young birches some distance ahead of them.""oh"
1851,large,elm,"cottage, in which they lived. it was shaded in front by a large elm tree, that spread its arms far out over the moss-covered roof, as if"
1892,large,elm,"you gathering flowers one day soon after you came here. there is a large elm tree down there, the only one near. the indians are buried there all"
1912,large,elm,", and then i stood horrified, for my cecropia was sailing over a large elm tree in a corner of the orchard, and for a block my gaze followed"
1971,large,elm,"spent more than half of her last summer in the upper branches of a large elm tree, and i think that the only times she let herself be caught was"
1855,large,frog,"was so intently engaged in the pursuit of a large frog, that he had not heeded the uproar in the vicinity.""blue"
1841,large,grasshopper,". one of the shawanoe children having caught a large grasshopper, a dispute arose with some of the delaware children, in regard to"
1845,large,grasshopper,"to the wind was 370 miles distant, a large grasshopper flew on board. more than once, when the ship was in the"
1984,large,grasshopper,"he ran up to the line, clutching a large grasshopper in his hand. he tossed it over. it lay still."""
1875,large,grizzly,"it a coyote; but we soon recognized a large grizzly bear, swimming directly across the channel. not having any weapon, we"
1879,large,grizzly,"door, on which was the carcass of a large grizzly bear, shot behind the house this morning. i had intended to ride"
1839,large,hemlock,", and firmly bound to the body of a large hemlock, with his face turned to the tree. every thing being now in"
1852,large,hemlock,"need of it; for on the outside a large hemlock shot up towards the blue sky, far beyond the ridge-pole of the little"
1906,large,hemlock,". the little shelter had stood close to a large hemlock tree. the lightning had struck the tree, causing it to topple ever"
1965,large,juniper,"came on the others. they were standing in a circle next to a large juniper bush, and when i took my place beside dolphin in the ring i saw"
1941,large,lizard,"locomotion alternatingly, according to fancy or to circumstances. a living and fairly large lizard from australia had come to light (chlamydosaurus), which walked on all fours"
1946,large,magpie,"over his shoulder. the cause, however, was soon discovered in a large magpie who was perched upon a shelf over the fireplace, and who immediately relapsed into"
1898,large,muskrat,"a black duck motionless on the water, staring with outstretched neck at a large muskrat swimming past within a yard of him. the ripple caused by the muskrat surrounded"
1898,large,muskrat,"large muskrat swimming past within a yard of him. the ripple caused by the muskrat surrounded the duck and spread beyond him, but the bird's eyes were fixed"
1888,large,opossum,"that he was not the only occupant of the fallen tree. a fine large opossum had taken refuge in one of the upper branches, and sam used his rifle"
1856,large,otter,"came to a large lake; on looking about, he discovered a very large otter on an island. he thought to himself,""his skin will make me"
1856,large,otter,"came to a great lake, and on looking about he discovered a very large otter on an island. he thought to himself,""his skin will make me"
1974,large,otter,"feeding station. we waited to observe tool use. at long last a large otter came down, felt the abalone on the rock, pulled at them and then"
1848,large,panther,", to his amazement and alarm, the fiery, glaring eyeballs of a large panther, crouched on a neighboring tree, and just in the act of springing."
1875,large,porcupine,"presently i heard something in the near bushes, and in a moment a large porcupine came into view. i thought that he, too, was looking for water"
1912,large,porcupine,", large lizards (varanus), various apes and monkeys, and a large porcupine (hestrix crassispinus), and several small mammals, such as otters (lutra"
1859,large,sturgeon,"good spirits. confound the fish!""bim made this exclamation when a large sturgeon leaped over his head and splashed a quantity of water into the boat."""
1838,large,sycamore,"instant a bolt of lightning shot from the heavens, and lighting upon a large sycamore which shaded a part of the temple court, clove it in twain. the"
1848,large,sycamore,"a bolt of lightning shot from the heavens, and, lighting upon a large sycamore which shaded a part of the temple court, clove it in twain. the"
1848,large,sycamore,"at the meeting of three streets, and beneath the dark shade of a large sycamore tree. the spot was retired as the street was but little frequented, though"
1880,large,sycamore,"had placed its nest in the lowest twig of the lowest branch of a large sycamore, immediately over a great thoroughfare, and so near the ground that a person"
1884,large,sycamore," bee tree run.  here, just at the foot of a large sycamore, and among its roots, was fastened a curious boat, made of a"
1888,large,sycamore,"it exceedingly dangerous to travel in daylight in this region; and seeing a large sycamore log that was hollow, he crawled into it. the february air was keen"
1838,large,tortoise,", nevertheless, what greatly astonished us, that the islands abounded in the large tortoise of the gallipagos, one of which we saw in the canoe of too-wit."
1846,large,wolf,"his mind than intended for the car of the trumpeter. it is a large wolf, effendi l' said the man as he drew near and gazed on the"
1870,large,wolf,"things. and it was while walking thus that he did not observe a large wolf advance to the edge of the gully, look down, and then whisk back"
1993,large,wolf,would have seen the figure of a very large wolf. or was it a wolf? for when it reared up in the darkness its pointed ears seemed almost to
1856,large,woodpecker,"was badly bruised, and at his very wit's end, when a large woodpecker flew past and lit on a tree. it was a bird he had known"
